date_time,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19
1998/1/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998/2/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998/3/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998/4/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998/5/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998/6/1,46,252,2,70,3,58,78,1,26,55,0,0,0,0,2,451,2,1,172,6
1998/7/1,189,640,0,232,37,638,274,76,365,219,0,0,1,0,17,596,71,5,512,37
1998/8/1,711,3.747,0,875,130,6.815,1.176,93,2.254,815,1,1,0,0,48,581,321,12,2.218,38
1998/9/1,1.991,5.149,6,1.981,509,6.237,3.935,590,3.753,2.718,14,20,2,0,33,525,267,177,2.867,108
1998/10/1,2.586,1.738,4,1.093,44,3.665,5.137,1.014,483,1.969,20,42,1,0,3,434,83,372,1.034,20
1998/11/1,424,1,21,32,0,1.861,2.237,575,3,49,19,131,1,12,0,488,6,141,47,4
1998/12/1,119,9,26,21,7,1.008,1.399,276,33,82,32,84,16,8,0,121,196,59,13,5
1999/1/1,21,36,11,36,0,87,54,47,1,114,58,0,15,36,0,7,3,102,14,33
1999/2/1,22,1,2,112,0,285,6,16,1,157,20,1,20,25,2,47,43,13,334,10
1999/3/1,4,1,7,13,0,7,17,30,8,83,52,2,98,18,0,78,7,27,1,8
1999/4/1,10,9,0,27,0,6,4,6,3,55,4,0,16,6,0,291,2,2,25,2
1999/5/1,8,24,1,51,0,4,3,5,3,76,1,0,0,0,0,500,0,6,99,16
1999/6/1,47,113,0,132,0,37,32,16,10,64,0,2,3,0,3,522,7,7,250,6
1999/7/1,123,373,2,318,1,982,258,83,135,107,0,0,4,0,4,684,11,2,311,9
1999/8/1,499,1.284,51,1.19,63,6.178,895,131,1.976,453,3,0,1,0,16,1.211,259,3,1.198,60
1999/9/1,872,3.415,101,2.686,209,4.419,1.739,124,3.062,1.275,3,4,3,0,12,911,216,64,1.898,64
1999/10/1,1.438,1.378,16,1.363,60,5.026,3.208,309,1.884,1.307,4,25,10,0,8,763,479,180,743,23
1999/11/1,334,29,84,271,0,2.682,1.494,524,41,49,15,26,15,3,1,398,32,41,110,9
1999/12/1,74,16,89,32,0,766,1.001,397,0,37,12,41,35,5,0,47,2,16,20,0
2000/1/1,5,15,14,24,0,30,19,1,0,31,11,2,18,1,0,36,7,3,10,5
2000/2/1,12,6,8,20,0,29,11,6,6,32,16,0,57,6,0,25,62,4,11,5
2000/3/1,14,4,46,24,11,181,6,9,9,65,32,0,125,6,0,26,69,14,4,1
2000/4/1,15,0,7,49,1,40,6,15,0,23,20,0,0,1,0,102,18,1,16,3
2000/5/1,25,69,0,67,1,12,28,7,13,71,1,0,7,0,2,300,51,7,58,2
2000/6/1,18,278,2,135,1,59,94,16,54,178,0,0,0,0,1,606,6,4,222,9
2000/7/1,75,500,21,345,1,426,233,18,117,202,0,0,0,0,15,770,39,0,332,16
2000/8/1,415,1.949,69,769,136,5.484,839,79,2.197,633,4,3,9,0,9,915,180,31,925,26
2000/9/1,1.099,2.552,36,1.08,265,2.569,1.365,127,2.438,2.285,22,19,12,0,3,582,189,130,1.293,14
2000/10/1,2.558,1.053,55,1.954,18,4.313,2.654,875,644,3.35,13,42,25,3,18,647,145,411,905,88
2000/11/1,450,96,19,43,0,3.366,2.267,669,13,114,2,157,32,0,0,96,27,64,26,3
2000/12/1,79,20,29,14,0,1.698,1.461,389,7,24,2,30,77,0,0,23,60,22,6,3
2001/1/1,29,19,11,18,0,34,29,11,0,24,5,0,101,2,0,26,3,7,29,1
2001/2/1,0,6,0,39,0,16,1,0,2,101,4,0,646,2,1,25,8,2,9,5
2001/3/1,2,0,1,13,0,0,0,0,0,4,0,0,1.108,1,0,35,6,0,10,2
2001/4/1,1,19,1,60,0,0,2,2,0,26,0,0,380,0,0,61,1,2,49,2
2001/5/1,36,48,2,83,0,7,21,81,5,85,2,0,9,3,0,211,0,5,85,8
2001/6/1,87,305,1,166,1,42,100,38,31,98,2,0,1,0,3,346,5,2,212,9
2001/7/1,337,830,5,266,3,708,549,146,74,248,0,1,1,0,22,538,9,6,371,12
